Is Duplicate Row?-2,State Full Name,Is Duplicate Row?,VIN (1-10),County,City,Postal Code,Model Year,Vehicle Age,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Longitude,Latitude,Electric Utility,2020 Census Tract
Unique,Washington,Unique,5YJSA1CN2C,Cowlitz,Woodland,98674,2012,14,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,20,335390716,-122.74017,45.9094,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,53015001501
Unique,Washington,Unique,WP1AE2AY9L,King,Seattle,98105,2020,6,Porsche,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,81100,46,122032669,-122.31307,47.66127,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004101
Unique,Washington,Unique,WP0AH2A70J,Skagit,Anacortes,98221,2018,8,Porsche,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,184400,40,214906548,-122.61214,48.51748,PUGET SOUND ENERGY INC,53057940201
Unique,Washington,Unique,5YJSA1CN0D,Yakima,Sunnyside,98944,2013,13,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,15,128659436,-120.00949,46.32379,BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077002006
Unique,Washington,Unique,KNDJX3AE2G,Whatcom,Bellingham,98226,2016,10,Kia,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,42,250898805,-122.49756,48.7999,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000803
Unique,Washington,Unique,2C4RC1N79K,King,Kirkland,98033,2019,7,Chrysler,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,39995,48,291923187,-122.2066,47.67887,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022701
Unique,Washington,Unique,JF2GTDNC7K,King,Seattle,98107,2019,7,Subaru,CROSSTREK,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,34995,43,207849876,-122.38591,47.67597,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003400
Unique,Washington,Unique,YV4BR0DM8J,King,Seattle,98177,2018,8,Volvo,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,52900,32,348250731,-122.36498,47.72238,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000500
Unique,Washington,Unique,WBA8E1C53H,King,Bothell,98011,2017,9,Bmw,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,44100,1,177758332,-122.20563,47.76144,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021804
Unique,Washington,Unique,5YJSA1CP0D,Klickitat,White Salmon,98672,2013,13,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,14,5086070,-121.48704,45.72776,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF KLICKITAT COUNTY,53039950301
Unique,Washington,Unique,2C4RC1N7XK,Whatcom,Bellingham,98225,2019,7,Chrysler,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,39995,42,235462041,-122.47122,48.75235,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000402
Unique,Washington,Unique,WMZYU7C44J,King,Seattle,98119,2018,8,Mini,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36800,36,478189722,-122.3684,47.64586,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005902
Unique,Washington,Unique,5YJSA1CP9D,Clark,Vancouver,98683,2013,13,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,17,193870848,-122.49212,45.60365,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041323
